GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyProject,source,LoginSourceCode,7,15,0,0,3,6,2,3,2,3
MyProject,source,ProductSourceCode,11,5,0,0,5,2,3,1,3,1
